"Lat","Long","depth"
-19.6097,-70.7691,25
54.892,153.221,598.1
-10.799,165.114,24
0.802,92.463,25.1
2.327,93.063,20
38.297,142.373,29
-36.122,-72.898,22.9
-15.489,-172.095,18
-8.466,157.043,24
46.243,154.524,10
46.592,153.266,10
-20.187,-174.123,55
2.085,97.108,30
3.295,95.982,30
-49.312,161.345,10
41.815,143.91,27
-16.265,-73.641,33
-3.98,152.169,33
-62.877,149.527,10
-0.891,136.952,33
19.055,-104.205,33
-23.34,-70.294,45.6
43.773,147.321,14
-13.841,-67.553,631.3
-52.341,160.568,10
51.52,-174.776,33
18.19,-102.533,27.9
-33.135,-71.871,33
-28.427,-177.657,33
6.405,126.64,60
-4.817,153.172,40
-5.524,153.85,40
-1.597,-72.532,644.8
40.86,143.435,29.9
-10.665,-78.228,40
51.251,178.715,30.3
-2.608,125.952,20
60.908,-147.339,25
-6.843,129.684,65
44.872,149.483,35
-38.143,-73.407,25
-38.061,-73.039,25
-37.824,-73.353,25
39.869,143.228,15
44.479,148.485,35
45.189,99.368,30
51.499,-175.626,25
52.623,159.779,21.6
42.084,143.899,45
-23.977,-67.912,113.9
28.363,96.445,15
53.673,-133.015,10
33.116,135.895,15
24.054,95.666,15
53.492,-162.832,15
24.927,63.601,15
33.682,136.204,15
-31.432,-71.475,35
-49.92,30.336,10
-14.819,-74.708,30
37.446,-18.953,10
-11.094,-77.487,45
-0.073,122.51,35
55.178,-158.181,35
-5.045,131.614,25
26.885,86.589,15
39.209,144.59,15
19.786,-103.784,15
-55.342,-29.434,15
6.722,126.038,15
35.413,139.298,15
54.486,160.472,15
-28.293,-69.852,70
36.888,105.606,15
-20.088,168.523,25
23.684,121.986,20
-18.352,-172.515,25
46.737,150.653,15
5.967,124.377,20
-14.739,-173.562,15
-31.08,-176.461,15
-1.829,136.943,15
25.911,123.973,235
-6.249,147.281,35
-32.4,-71.4,35
51.853,178.18,110
0.955,-79.369,20
49.369,96.61,15
49.709,98.483,15
