"Lat","Long","Magnitude"
-10.108,33.818,6
-21.324,33.583,7
-6.224,29.83,6.8
35.142,-3.997,6.4
-1.884,29.004,6.2
-7.977,30.709,6.5
0.593,30.037,6.2
28.729,34.553,6.1
-6.087,26.651,6.4
11.513,42.812,6.2
5.395,31.654,6.6
5.358,31.848,7.1
5.277,31.829,6.5
5.121,32.145,7.2
11.942,41.769,6.1
11.874,41.87,6.4
11.904,41.824,6.1
11.88,41.88,6.1
11.884,41.812,6.1
11.766,41.942,6.5
-13.702,34.42,6.2
5.74,36.73,6
5.409,36.751,6.3
11.866,-13.529,6.3
36.221,1.611,6.2
36.195,1.354,7.3
-0.278,12.917,6.2
-33.268,19.386,6.3
11.884,41.338,6.1
11.886,41.341,6.1
11.875,41.208,6.2
0.622,29.863,6.6
-4.083,35.243,6.5
10.162,39.764,6
10.466,39.717,6.2
-3.25,29.16,6.3
-3.536,29.031,6.5
11.374,42.609,6.1
36.464,1.241,6.2
36.274,1.594,6.7
-3.471,29.097,6
5.691,37.145,6
-0.36,29.914,6.5
-4.316,29.977,6.2
-20.201,33.675,6.1
-21.82,33.649,6
5.552,-0.628,6.4
10.453,40.301,6.4
4.932,36.679,6.3
31.244,15.315,6.8
0.383,35.419,6.2
0.34,35.86,7
-8.174,31.566,7.2
5.589,36.724,6.5
-11.421,33.116,6.7
14.484,38.688,6.2
3.332,33.566,6
-6.351,31.27,7.3
7.415,40.813,6.5
